image,portraits,protests
FL1817297,2.656394881839219e-09,1.0
FL1817300,0.007659094873815775,0.9923409223556519
FL1817303,4.747240018332377e-05,0.9999525547027588
FL1817307,0.00010077799379359931,0.9998992681503296
FL1817310,1.1881305661542996e-10,1.0
FL1817311,0.977226734161377,0.0227732602506876
FL1817312,0.9721511006355286,0.02784891612827778
FL1817313,0.0002948255278170109,0.9997051358222961
FL1817317,0.9986938834190369,0.0013061416102573276
FL1817320,0.9999992847442627,6.903465532559494e-07
FL1817323,0.000715190137270838,0.9992848038673401
FL1817324,0.028857702389359474,0.9711423516273499
FL1817325,0.9999903440475464,9.608061191102024e-06
FL1817328,0.9999997615814209,2.7361500087863533e-07
FL1817330,0.9510306715965271,0.04896935075521469
FL1817335,1.0,2.4101831641587523e-09
FL1817336,0.9961820244789124,0.003817974589765072
FL1817337,0.9938218593597412,0.006178116891533136
FL1817342,0.9821587204933167,0.017841266468167305
FL1817344,0.9967435002326965,0.003256482072174549
FL1817346,0.13909009099006653,0.8609098792076111
FL1817348,0.9112554788589478,0.08874452859163284
FL1817349,4.630784133041743e-06,0.9999953508377075
FL1817350,8.383249650023572e-08,0.9999998807907104
FL1817351,4.7580732598362374e-07,0.9999995231628418
FL1817352,8.030352773857885e-07,0.9999991655349731
FL1817356,5.4339503549272195e-05,0.9999456405639648
FL1817359,0.9946735501289368,0.005326464772224426
FL1817360,7.194985869318771e-07,0.9999992847442627
FL1817362,0.08009446412324905,0.9199056029319763
FL1817363,0.03675488010048866,0.963245153427124
FL1817365,5.174363195692422e-06,0.9999948740005493
FL1817366,1.7990869309869595e-06,0.9999982118606567
FL1817367,0.9965355396270752,0.0034644007682800293
FL1817368,0.35787513852119446,0.6421248912811279
FL1817369,0.011901444755494595,0.9880985617637634
FL1817373,0.002055852673947811,0.997944176197052
FL1817376,0.9999996423721313,3.651553015515674e-07
FL1817379,0.9999983310699463,1.6534719406990916e-06
FL1817380,0.9994959831237793,0.0005040442338213325
FL1817388,0.9999996423721313,3.875439062994701e-07
FL4364045,0.9778048992156982,0.022195102646946907
FL4364046,0.981115460395813,0.018884463235735893
FL4364047,0.9611732959747314,0.03882670775055885
FL4364048,0.9799986481666565,0.02000131830573082
FL4364049,0.9852192401885986,0.014780797064304352
FL4364050,0.540092945098877,0.45990705490112305
FL4364051,0.9888145327568054,0.011185497045516968
FL4364055,0.9999094009399414,9.0583591372706e-05
FL4364075,0.06483863294124603,0.9351613521575928
FL4364076,0.027378050610423088,0.9726219773292542
FL4364077,0.8871477246284485,0.11285224556922913
FL4364078,0.9998666048049927,0.00013335703988559544
FL4364079,0.000989471678622067,0.999010443687439
FL4364080,0.03995763137936592,0.9600423574447632
FL4364081,0.5567113161087036,0.4432886838912964
FL4364082,0.5070037245750427,0.4929962158203125
FL4364083,0.9999995231628418,4.3454127762743155e-07
FL4364163,0.01672907918691635,0.9832709431648254
FL4364164,4.834956052945927e-05,0.9999516010284424
FL4364166,0.0034803946036845446,0.9965195655822754
FL4364167,2.0279116142774e-05,0.9999797344207764
FL4364168,0.014523945748806,0.9854760766029358
FL4364170,0.12431330978870392,0.8756866455078125
FL4364174,0.0002647719520609826,0.9997351765632629
FL4364175,6.682750972686335e-05,0.999933123588562
FL4364176,1.7867520227810019e-06,0.9999982118606567
FL4364179,1.51138183355215e-05,0.999984860420227
FL4364180,1.772540114686194e-09,1.0
FL4364182,4.067382164407718e-08,1.0
FL4364183,9.035980474436656e-05,0.9999096393585205
FL4364187,7.395246029773261e-06,0.9999926090240479
FL4364188,8.260537924797973e-07,0.9999991655349731
FL4364189,8.722012694306613e-07,0.9999991655349731
FL4364192,7.093579057482202e-08,0.9999998807907104
FL4364193,7.098274750205746e-07,0.9999992847442627
FL4364198,3.156233674417308e-08,1.0
FL4364200,1.3732665138377342e-07,0.9999998807907104
FL4364202,4.3882317224408496e-10,1.0
FL4364204,0.001290534739382565,0.9987094402313232
FL4364206,1.4664524314866867e-06,0.9999985694885254
FL4364208,0.003136187791824341,0.996863842010498
FL4364210,1.4741996210432262e-06,0.9999985694885254
FL4364213,0.0005063255084678531,0.9994935989379883
FL4364214,0.00013930266140960157,0.9998606443405151
FL4364229,0.0017291303956881166,0.9982708692550659
FL4364230,0.053875818848609924,0.946124255657196
FL4364231,9.812082862481475e-05,0.9999018907546997
FL4364232,3.881148586515337e-06,0.9999960660934448
FL4364233,1.1076865575887496e-06,0.999998927116394
FL4364234,0.023923011496663094,0.9760770201683044
FL4364235,2.1909239700246275e-10,1.0
FL4364236,3.4176121932461e-09,1.0
FL4364237,0.0011781624052673578,0.9988217949867249
FL4364241,7.16805743650184e-08,0.9999998807907104
FL4364242,1.940511253906152e-07,0.9999997615814209
FL4364243,7.451361749843954e-10,1.0
FL4364244,0.16234955191612244,0.8376504778862
FL4364245,0.9999150037765503,8.497951057506725e-05
FL4364247,0.999987006187439,1.2969671843165997e-05
FL4364248,0.8221912980079651,0.1778087615966797
FL4364249,0.20472876727581024,0.7952712178230286
FL4364252,0.0006479961448349059,0.9993520379066467
FL4364253,0.9968008995056152,0.003199121216312051
FL4364256,0.9389254450798035,0.06107458844780922
FL4364257,0.011599559336900711,0.9884004592895508
FL4364258,0.9999260902404785,7.386730430880561e-05
FL4364259,0.9809160828590393,0.01908385567367077
FL4364260,0.0007651348132640123,0.9992349147796631
FL4364261,0.9929237365722656,0.007076311390846968
FL4364262,0.9845460653305054,0.015454011037945747
FL4364264,0.9998605251312256,0.0001394411374349147
FL4364267,0.002469126833602786,0.9975308775901794
FL4364313,0.0010299647692590952,0.9989700317382812
FL4364315,7.814746822987217e-07,0.9999991655349731
FL4364316,0.03449895977973938,0.9655010104179382
FL4364317,2.929592035627593e-08,1.0
FL4364319,1.448299713047163e-06,0.9999985694885254
FL4364320,0.07831060141324997,0.9216894507408142
FL4364323,0.0007670113118365407,0.9992330074310303
FL4364325,0.7655884623527527,0.23441147804260254
FL4364326,0.9992424249649048,0.0007576036732643843
FL4364329,0.23202286660671234,0.7679771184921265
FL4364330,0.4169314205646515,0.5830686092376709
FL4364331,0.011258660815656185,0.9887413382530212
FL4364333,0.009675477631390095,0.9903244972229004
FL4364334,0.02488255687057972,0.9751175045967102
FL4364335,0.0031196230556815863,0.9968804121017456
FL4364336,1.2810317002731608e-06,0.9999986886978149
FL4364340,1.617134586240354e-07,0.9999998807907104
FL4364409,0.8771560192108154,0.1228439211845398
FL4364411,0.09941893070936203,0.9005810618400574
FL4364412,0.006796392146497965,0.9932036399841309
FL4364414,0.9998109936714172,0.00018903432646766305
FL4364417,0.9897093176841736,0.010290704667568207
FL4364419,0.8740622401237488,0.12593768537044525
FL4364420,0.9999833106994629,1.6631358448648825e-05
FL4364422,0.9999940395355225,5.917096586927073e-06
FL4364424,0.6653627753257751,0.33463722467422485
FL4364425,0.9701845049858093,0.029815563932061195
FL4364426,0.07339346408843994,0.9266065359115601
FL4364428,8.942237400333397e-06,0.9999910593032837
FL4364429,0.4607202708721161,0.5392797589302063
FL4364430,3.90829697494155e-08,1.0
FL4364434,2.137651167188892e-09,1.0
FL4364437,0.0914837121963501,0.9085162878036499
FL4364439,4.24074569309596e-05,0.9999575614929199
FL4364441,0.01240665465593338,0.9875933527946472
FL4364442,0.022132879123091698,0.9778671860694885
FL4364443,0.00013794646656606346,0.9998620748519897
FL4364444,0.01949286460876465,0.9805071353912354
FL4364446,0.00017947850574273616,0.9998205304145813
FL4364447,5.716176421088903e-10,1.0
FL4364450,2.6781690198873775e-09,1.0
FL4364451,1.156319285655627e-05,0.9999884366989136
